serial_number,order_id,order_date,delivery_date,time_of_order,time_of_delivery,delivery_mode,sales_agent,payment_mode,delivery_rating,product_id,customer_id,sales,quantity,percent_discount,profit
4720,D-94655-11910,03-01-2019,07-01-2019,10:50 AM,5:12 PM,Standard Class,Robert Paige,Debit Card,2,CTM-0236,SVA-9020,2.214,3,70,-1.476
428,D-75151-11913,04-01-2019,08-01-2019,1:27 PM,3:52 PM,Standard Class,Chris Jr,Debit Card,1,FMB-0558,CTH-7225,41.376,6,20,3.1032
429,C-55852-11913,04-01-2019,08-01-2019,1:12 PM,5:23 PM,Standard Class,Tom Renner,Credit card,1,EWB-0800,BON-8789,153.36,9,0,70.5456
1041,D-13194-11912,05-01-2019,12-01-2019,12:17 PM,10:11 AM,Standard Class,Robert Hemsworth,Debit Card,2,PWP-0162,CTH-7225,21.184,1,20,4.7664
4229,C-26707-11916,06-01-2019,07-01-2019,4:36 PM,1:41 PM,First Class,John Wick,Cash,2,AWP-0964,QMS-4194,66.54,6,0,32.6046
4412,C-13254-11912,06-01-2019,10-01-2019,12:14 PM,4:03 PM,Standard Class,John Wick,Credit card,4,RWM-0106,BON-8789,84.09,3,0,42.045
4413,B-10469-11914,06-01-2019,10-01-2019,2:04 PM,10:48 AM,Standard Class,Edward Ruffalo,Bank Transfer,4,OMW-0901,APP-5121,3.282,2,70,-2.6256
4414,B-18494-11914,06-01-2019,10-01-2019,2:09 PM,11:00 AM,Standard Class,Anthony Evans,Bank Transfer,2,RWW-0690,APP-5121,21.168,9,20,2.3814
4415,C-10691-11912,06-01-2019,10-01-2019,12:11 PM,12:48 PM,Standard Class,Tom Renner,Cash,5,ZOW-0297,BON-8789,79.36,4,0,32.5376
4532,C-85405-11916,07-01-2019,12-01-2019,4:01 PM,10:23 AM,Standard Class,Tom Renner,Cash,2,EWG-0801,QMS-4194,43.26,3,0,14.2758
4533,D-11349-11914,08-01-2019,12-01-2019,2:31 PM,3:26 PM,Standard Class,Robert Paige,Debit Card,5,NMP-0068,COH-3082,307.666,2,15,28.9568
343,C-86574-11914,09-01-2019,13-01-2019,2:43 PM,4:21 PM,Standard Class,Tom Renner,Credit card,2,RMW-0430,BON-8789,43.68,6,0,21.4032
501,C-78272-11917,10-01-2019,15-01-2019,5:35 PM,12:17 PM,Standard Class,Chris Jr,Cash,4,UWG-0486,TGC-8893,141.96,2,0,22.7136
502,D-26840-11916,10-01-2019,15-01-2019,4:11 PM,12:20 PM,Standard Class,Chris Jr,Debit Card,3,ZWP-0723,COH-3082,4.16,2,0,1.7472
414,B-75282-11915,11-01-2019,14-01-2019,3:35 PM,11:59 AM,First Class,John Wick,Bank Transfer,5,RMW-0758,COG-2702,3.648,2,70,-2.7968
439,C-24926-1199,12-01-2019,15-01-2019,9:26 AM,12:14 PM,Second Class,Robert Paige,Cash,3,QWB-1004,DKR-9368,19.14,3,0,8.8044
440,D-14552-11917,13-01-2019,15-01-2019,5:05 PM,5:55 PM,Second Class,John Wick,Debit Card,4,4MB-0627,LCP-8039,276.784,2,20,89.9548
441,C-29899-11910,13-01-2019,15-01-2019,10:13 AM,5:12 PM,Second Class,Chris Jr,Credit card,4,BWP-0959,EIA-8233,121.104,6,70,-100.92
1765,D-89281-11910,13-01-2019,16-01-2019,10:51 AM,2:09 PM,Second Class,John Wick,Debit Card,1,MWW-0748,DCL-2847,295.056,9,20,106.9578
2930,B-36833-11917,13-01-2019,18-01-2019,5:48 PM,10:59 AM,Standard Class,John Wick,Bank Transfer,1,TWW-0232,NNN-3065,9.94,2,0,3.0814
2931,D-12838-11910,13-01-2019,18-01-2019,10:31 AM,3:17 PM,Standard Class,Robert Paige,Debit Card,2,ASB-0534,HNN-2222,393.25,5,0,129.7725
